member_id,trainer_id,assigned_date
1,37,2024-04-09
2,13,2024-05-03
3,42,2024-01-25
4,30,2024-06-18
5,46,2024-03-04
6,50,2024-06-03
7,35,2024-02-19
8,20,2024-01-28
9,49,2024-05-12
10,22,2024-02-13
11,36,2024-05-12
12,14,2024-04-03
13,1,2024-03-11
14,41,2024-05-01
15,25,2024-06-22
16,24,2024-01-06
17,42,2024-02-15
18,46,2024-01-04
19,22,2024-05-12
20,48,2024-05-04
21,14,2024-01-20
22,21,2024-04-19
23,48,2024-05-20
24,9,2024-06-04
25,50,2024-03-14
26,36,2024-01-07
27,10,2024-02-17
28,26,2024-05-01
29,3,2024-06-01
30,21,2024-03-08
31,48,2024-02-10
32,47,2024-02-10
33,49,2024-03-13
34,27,2024-03-25
35,10,2024-02-22
36,29,2024-03-20
37,27,2024-04-13
38,1,2024-03-05
39,39,2024-03-24
40,36,2024-03-01
41,24,2024-06-15
42,26,2024-01-29
43,33,2024-03-15
44,35,2024-02-08
45,31,2024-03-14
46,4,2024-01-30
47,16,2024-01-14
48,50,2024-06-21
49,2,2024-04-27
50,30,2024-04-17
51,12,2024-02-06
52,18,2024-06-21
53,11,2024-06-01
54,37,2024-01-06
55,33,2024-03-30
56,41,2024-06-08
57,25,2024-04-04
58,19,2024-02-13
59,22,2024-01-08
60,17,2024-05-12
61,47,2024-03-05
62,14,2024-03-01
63,33,2024-06-10
64,4,2024-06-24
65,40,2024-05-18
66,11,2024-05-04
67,16,2024-05-23
68,16,2024-03-01
69,21,2024-02-02
70,18,2024-02-12
71,43,2024-02-14
72,25,2024-06-14
73,14,2024-06-03
74,33,2024-06-26
75,49,2024-06-15
76,19,2024-01-25
77,10,2024-01-12
78,11,2024-03-15
79,5,2024-03-23
80,22,2024-05-05
81,21,2024-02-03
82,43,2024-04-04
83,2,2024-06-21
84,28,2024-05-14
85,46,2024-02-10
86,40,2024-03-05
87,30,2024-05-06
88,33,2024-05-27
89,20,2024-06-21
90,4,2024-02-06
91,9,2024-06-08
92,3,2024-03-11
93,46,2024-02-05
94,45,2024-03-22
95,17,2024-02-21
96,37,2024-03-28
97,18,2024-05-07
98,10,2024-03-28
99,30,2024-04-27
100,39,2024-03-04
101,21,2024-03-09
102,32,2024-01-18
103,22,2024-04-29
104,50,2024-05-02
105,22,2024-01-16
106,15,2024-03-01
107,11,2024-06-25
108,22,2024-01-13
109,37,2024-04-26
110,39,2024-03-07
111,11,2024-03-16
112,42,2024-03-24
113,25,2024-03-15
114,42,2024-03-15
115,10,2024-02-10
116,11,2024-02-10
117,11,2024-02-01
118,32,2024-01-04
119,25,2024-01-30
120,49,2024-05-24
121,19,2024-02-05
122,47,2024-06-18
123,41,2024-05-28
124,15,2024-04-30
125,31,2024-04-30
126,8,2024-04-04
127,10,2024-02-18
128,8,2024-06-03
129,30,2024-02-22
130,50,2024-02-24
131,35,2024-01-02
132,33,2024-01-21
133,22,2024-01-17
134,32,2024-04-25
135,23,2024-02-21
136,36,2024-02-03
137,36,2024-01-25
138,35,2024-05-22
139,30,2024-01-06
140,43,2024-06-18
141,34,2024-05-18
142,13,2024-01-29
143,15,2024-03-30
144,37,2024-04-27
145,16,2024-04-05
146,20,2024-04-10
147,16,2024-04-21
148,40,2024-03-25
149,4,2024-02-24
150,24,2024-01-23
151,30,2024-02-15
152,41,2024-03-12
153,50,2024-06-28
154,31,2024-05-01
155,43,2024-05-19
156,4,2024-01-14
157,3,2024-02-18
158,39,2024-02-24
159,6,2024-03-06
160,15,2024-02-05
161,3,2024-06-12
162,6,2024-03-06
163,46,2024-05-31
164,23,2024-06-22
165,42,2024-01-05
166,16,2024-05-20
167,15,2024-05-15
168,46,2024-03-04
169,25,2024-04-15
170,17,2024-06-17
171,34,2024-01-03
172,4,2024-04-09
173,46,2024-04-30
174,27,2024-03-30
175,5,2024-01-21
176,28,2024-01-19
177,26,2024-01-12
178,28,2024-02-05
179,5,2024-02-11
180,18,2024-01-03
181,49,2024-02-04
182,41,2024-02-04
183,24,2024-01-11
184,17,2024-05-21
185,22,2024-01-04
186,1,2024-02-21
187,35,2024-01-20
188,42,2024-02-15
189,24,2024-02-03
190,24,2024-04-19
191,15,2024-03-28
192,28,2024-04-14
193,34,2024-03-11
194,1,2024-03-16
195,38,2024-01-08
196,7,2024-04-17
197,19,2024-01-03
198,4,2024-03-07
199,5,2024-03-17
200,42,2024-01-19
201,7,2024-06-03
202,1,2024-06-20
203,40,2024-01-04
204,40,2024-04-02
205,1,2024-02-07
206,9,2024-01-30
207,37,2024-03-08
208,37,2024-04-19
209,3,2024-06-28
210,4,2024-02-24
211,9,2024-05-19
212,22,2024-04-18
213,4,2024-02-13
214,3,2024-02-24
215,2,2024-02-23
216,5,2024-02-20
217,49,2024-04-05
218,14,2024-01-06
219,48,2024-04-08
220,23,2024-04-26
221,19,2024-01-08
222,3,2024-03-10
223,15,2024-05-25
224,22,2024-04-26
225,13,2024-01-22
226,26,2024-02-06
227,39,2024-06-09
228,23,2024-05-21
229,12,2024-05-01
230,4,2024-05-16
231,4,2024-01-24
232,19,2024-06-09
233,11,2024-03-27
234,4,2024-03-07
235,6,2024-06-13
236,33,2024-05-13
237,49,2024-03-30
238,41,2024-06-22
239,47,2024-05-31
240,21,2024-03-16
241,24,2024-06-18
242,32,2024-04-27
243,6,2024-06-21
244,18,2024-01-07
245,19,2024-04-07
246,37,2024-05-30
247,25,2024-01-16
248,8,2024-06-23
249,20,2024-03-21
250,45,2024-03-24
251,38,2024-01-10
252,42,2024-03-25
253,9,2024-03-18
254,19,2024-01-27
255,44,2024-05-22
256,21,2024-01-11
257,47,2024-05-18
258,23,2024-05-09
259,12,2024-04-23
260,8,2024-05-03
261,33,2024-05-29
262,38,2024-03-11
263,36,2024-02-12
264,2,2024-05-26
265,6,2024-03-26
266,17,2024-03-06
267,15,2024-01-13
268,17,2024-06-07
269,33,2024-03-01
270,22,2024-01-21
271,40,2024-06-24
272,24,2024-05-26
273,10,2024-01-14
274,8,2024-05-01
275,4,2024-03-17
276,50,2024-02-08
277,43,2024-02-13
278,11,2024-03-20
279,25,2024-03-04
280,15,2024-06-21
281,19,2024-05-11
282,12,2024-02-26
283,20,2024-04-16
284,7,2024-05-27
285,32,2024-01-04
286,47,2024-06-11
287,17,2024-05-14
288,50,2024-03-28
289,34,2024-03-27
290,22,2024-02-05
291,46,2024-05-19
292,34,2024-01-24
293,19,2024-01-08
294,47,2024-05-27
295,49,2024-03-20
296,3,2024-01-12
297,36,2024-01-10
298,42,2024-05-14
299,48,2024-05-11
300,11,2024-02-04
301,41,2024-03-15
302,40,2024-05-03
303,39,2024-03-26
304,38,2024-03-25
305,6,2024-06-04
306,3,2024-01-30
307,22,2024-03-07
308,2,2024-06-16
309,16,2024-03-28
310,5,2024-01-05
311,7,2024-01-01
312,50,2024-05-16
313,21,2024-03-19
314,26,2024-01-11
315,23,2024-04-28
316,25,2024-01-27
317,44,2024-01-14
318,41,2024-06-18
319,42,2024-06-29
320,32,2024-06-13
321,37,2024-06-28
322,5,2024-03-25
323,37,2024-06-13
324,18,2024-02-11
325,22,2024-03-11
326,33,2024-04-27
327,41,2024-05-20
328,49,2024-04-26
329,22,2024-01-10
330,21,2024-01-05
331,33,2024-03-11
332,36,2024-04-23
333,15,2024-03-14
334,29,2024-04-10
335,13,2024-02-05
336,46,2024-04-23
337,18,2024-06-08
338,38,2024-06-07
339,22,2024-04-03
340,22,2024-05-09
341,42,2024-05-10
342,12,2024-06-06
343,35,2024-02-16
344,1,2024-01-10
345,22,2024-05-14
346,49,2024-06-29
347,34,2024-04-10
348,28,2024-06-06
349,20,2024-03-05
350,23,2024-04-25
351,9,2024-05-26
352,3,2024-03-26
353,48,2024-03-27
354,37,2024-05-22
355,37,2024-04-02
356,20,2024-06-07
357,6,2024-06-24
358,11,2024-04-01
359,41,2024-01-27
360,43,2024-05-29
361,45,2024-02-11
362,20,2024-01-12
363,25,2024-01-23
364,42,2024-01-05
365,39,2024-06-17
366,8,2024-01-21
367,45,2024-03-27
368,7,2024-03-24
369,41,2024-04-27
370,50,2024-03-03
371,15,2024-02-10
372,42,2024-02-10
373,23,2024-01-08
374,7,2024-05-20
375,46,2024-05-29
376,26,2024-03-09
377,1,2024-01-23
378,18,2024-04-27
379,6,2024-05-31
380,37,2024-02-09
381,15,2024-03-15
382,4,2024-02-17
383,32,2024-02-20
384,7,2024-04-23
385,26,2024-06-15
386,49,2024-02-19
387,15,2024-04-29
388,50,2024-04-27
389,29,2024-01-05
390,15,2024-02-13
391,16,2024-06-07
392,14,2024-06-27
393,37,2024-03-21
394,39,2024-06-16
395,22,2024-05-28
396,4,2024-04-11
397,43,2024-04-03
398,26,2024-02-01
399,34,2024-06-09
400,47,2024-01-22
401,46,2024-04-21
402,39,2024-03-13
403,11,2024-03-19
404,16,2024-06-27
405,46,2024-03-29
406,50,2024-02-28
407,30,2024-05-27
408,46,2024-01-11
409,41,2024-06-27
410,34,2024-04-08
411,35,2024-05-26
412,39,2024-03-29
413,44,2024-04-25
414,25,2024-02-08
415,46,2024-04-20
416,17,2024-04-11
417,20,2024-06-14
418,6,2024-02-04
419,16,2024-02-27
420,43,2024-01-11
421,41,2024-05-31
422,49,2024-03-10
423,16,2024-06-22
424,14,2024-06-02
425,50,2024-05-01
426,40,2024-05-05
427,4,2024-05-22
428,10,2024-03-23
429,42,2024-05-26
430,49,2024-03-26
431,20,2024-05-17
432,18,2024-02-27
433,16,2024-01-12
434,41,2024-01-26
435,36,2024-05-17
436,33,2024-02-02
437,47,2024-02-21
438,32,2024-04-28
439,12,2024-04-06
440,45,2024-02-21
441,28,2024-03-29
442,42,2024-04-22
443,26,2024-06-29
444,8,2024-05-26
445,28,2024-06-26
446,2,2024-01-17
447,39,2024-04-04
448,21,2024-01-11
449,37,2024-05-23
450,48,2024-01-26
451,4,2024-06-11
452,31,2024-05-27
453,31,2024-01-31
454,9,2024-03-27
455,41,2024-02-11
456,50,2024-01-28
457,42,2024-02-26
458,41,2024-02-13
459,18,2024-02-17
460,2,2024-04-21
461,39,2024-01-28
462,7,2024-01-23
463,27,2024-03-01
464,35,2024-03-02
465,47,2024-06-28
466,20,2024-04-12
467,22,2024-04-15
468,10,2024-02-22
469,6,2024-03-28
470,42,2024-06-14
471,2,2024-03-14
472,32,2024-04-04
473,25,2024-04-20
474,10,2024-05-23
475,7,2024-04-10
476,30,2024-01-19
477,46,2024-01-21
478,11,2024-06-19
479,24,2024-06-18
480,22,2024-01-24
481,43,2024-02-05
482,4,2024-02-14
483,6,2024-01-20
484,31,2024-03-24
485,38,2024-05-29
486,37,2024-02-10
487,36,2024-03-20
488,10,2024-04-21
489,39,2024-04-21
490,27,2024-06-02
491,49,2024-03-25
492,5,2024-01-13
493,9,2024-02-12
494,32,2024-05-26
495,35,2024-06-25
496,28,2024-06-13
497,31,2024-02-23
498,1,2024-05-08
499,9,2024-03-16
500,24,2024-05-26
501,50,2024-05-10
502,14,2024-06-18
503,26,2024-01-17
504,10,2024-02-11
505,33,2024-06-22
506,13,2024-05-05
507,20,2024-03-19
508,36,2024-02-25
509,31,2024-06-15
510,17,2024-05-13
511,9,2024-06-27
512,8,2024-03-16
513,9,2024-02-18
514,12,2024-02-24
515,10,2024-06-23
516,40,2024-02-10
517,28,2024-06-21
518,4,2024-02-11
519,20,2024-05-01
520,20,2024-03-27
521,50,2024-03-18
522,29,2024-02-04
523,23,2024-05-12
524,1,2024-04-26
525,33,2024-04-09
526,26,2024-02-23
527,20,2024-04-24
528,35,2024-04-08
529,50,2024-03-26
530,2,2024-03-23
531,31,2024-01-03
532,32,2024-02-24
533,16,2024-05-18
534,50,2024-05-09
535,45,2024-05-09
536,27,2024-04-01
537,28,2024-01-17
538,31,2024-03-19
539,6,2024-05-04
540,43,2024-05-11
541,5,2024-02-13
542,6,2024-05-24
543,19,2024-03-01
544,48,2024-02-13
545,19,2024-01-17
546,5,2024-02-08
547,39,2024-03-02
548,29,2024-02-26
549,9,2024-05-05
550,32,2024-05-12
551,12,2024-03-31
552,41,2024-05-04
553,44,2024-06-29
554,3,2024-01-20
555,40,2024-05-05
556,17,2024-04-15
557,5,2024-04-20
558,16,2024-04-21
559,20,2024-06-05
560,35,2024-04-12
561,28,2024-06-06
562,38,2024-03-29
563,40,2024-05-26
564,33,2024-02-29
565,22,2024-05-28
566,29,2024-01-28
567,38,2024-04-17
568,45,2024-04-01
569,23,2024-02-25
570,20,2024-01-08
571,20,2024-04-10
572,47,2024-03-23
573,48,2024-04-22
574,44,2024-03-15
575,39,2024-02-03
576,36,2024-03-06
577,31,2024-04-10
578,21,2024-03-27
579,19,2024-01-09
580,7,2024-02-05
581,41,2024-02-26
582,8,2024-02-09
583,42,2024-03-23
584,17,2024-06-08
585,27,2024-05-28
586,48,2024-03-08
587,1,2024-04-24
588,20,2024-05-16
589,6,2024-03-11
590,9,2024-03-23
591,25,2024-02-18
592,9,2024-02-15
593,14,2024-04-04
594,32,2024-04-27
595,45,2024-01-28
596,18,2024-06-12
597,14,2024-04-28
598,5,2024-04-26
599,1,2024-05-24
600,25,2024-05-12
601,24,2024-01-16
602,46,2024-04-08
603,42,2024-02-12
604,42,2024-02-28
605,32,2024-06-14
606,2,2024-01-24
607,39,2024-04-27
608,30,2024-02-22
609,28,2024-03-10
610,19,2024-01-01
611,23,2024-01-22
612,30,2024-02-18
613,33,2024-05-09
614,19,2024-06-26
615,6,2024-03-08
616,20,2024-02-06
617,40,2024-02-27
618,49,2024-02-27
619,11,2024-04-02
620,28,2024-02-28
621,17,2024-01-12
622,42,2024-02-05
623,22,2024-03-27
624,24,2024-05-24
625,27,2024-05-28
626,24,2024-03-24
627,45,2024-06-29
628,46,2024-05-29
629,15,2024-05-19
630,50,2024-06-16
631,46,2024-06-23
632,49,2024-04-26
633,48,2024-02-14
634,31,2024-06-17
635,30,2024-04-17
636,50,2024-01-08
637,23,2024-02-09
638,12,2024-03-08
639,8,2024-06-19
640,43,2024-06-09
641,16,2024-01-26
642,49,2024-03-11
643,11,2024-06-23
644,6,2024-02-26
645,6,2024-03-26
646,35,2024-05-25
647,50,2024-06-28
648,26,2024-06-04
649,6,2024-02-17
650,45,2024-05-12
651,38,2024-03-08
652,19,2024-05-04
653,35,2024-01-20
654,7,2024-04-30
655,24,2024-05-09
656,35,2024-02-26
657,39,2024-02-05
658,15,2024-04-16
659,1,2024-06-29
660,49,2024-06-21
661,7,2024-01-24
662,33,2024-05-21
663,50,2024-02-26
664,7,2024-01-30
665,37,2024-01-17
666,44,2024-02-03
667,27,2024-01-13
668,37,2024-06-07
669,1,2024-02-14
670,36,2024-01-23
671,44,2024-01-11
672,15,2024-04-10
673,46,2024-01-04
674,48,2024-01-24
675,8,2024-06-21
676,43,2024-06-29
677,45,2024-02-16
678,36,2024-06-08
679,48,2024-01-21
680,17,2024-04-23
681,14,2024-05-15
682,12,2024-06-26
683,9,2024-03-05
684,48,2024-06-08
685,16,2024-02-04
686,29,2024-02-19
687,15,2024-06-29
688,41,2024-02-26
689,36,2024-05-27
690,24,2024-05-31
691,7,2024-01-09
692,39,2024-01-23
693,24,2024-04-22
694,40,2024-05-26
695,10,2024-01-23
696,12,2024-04-23
697,45,2024-01-06
698,27,2024-02-16
699,7,2024-04-08
700,48,2024-01-19
701,31,2024-05-23
702,20,2024-06-06
703,8,2024-01-08
704,19,2024-01-11
705,40,2024-04-05
706,42,2024-02-28
707,11,2024-03-18
708,20,2024-05-21
709,35,2024-03-07
710,33,2024-01-21
711,9,2024-05-31
712,31,2024-06-06
713,35,2024-02-23
714,5,2024-04-29
715,6,2024-01-16
716,49,2024-05-21
717,38,2024-03-14
718,28,2024-06-08
719,43,2024-04-24
720,32,2024-04-14
721,16,2024-05-07
722,49,2024-02-17
723,1,2024-04-12
724,39,2024-05-07
725,8,2024-04-24
726,21,2024-05-17
727,35,2024-03-20
728,45,2024-05-12
729,9,2024-06-21
730,41,2024-01-04
731,12,2024-02-25
732,31,2024-01-08
733,31,2024-03-30
734,31,2024-05-28
735,24,2024-02-18
736,35,2024-02-29
737,35,2024-05-04
738,12,2024-03-18
739,43,2024-06-24
740,45,2024-06-19
741,14,2024-01-05
742,35,2024-05-01
743,34,2024-05-23
744,11,2024-03-03
745,22,2024-02-06
746,41,2024-01-24
747,39,2024-05-23
748,28,2024-03-23
749,44,2024-01-10
750,38,2024-02-01
751,6,2024-04-01
752,39,2024-01-25
753,45,2024-05-24
754,14,2024-01-25
755,35,2024-01-20
756,48,2024-04-15
757,45,2024-01-18
758,14,2024-04-20
759,48,2024-06-22
760,50,2024-04-02
761,10,2024-01-15
762,18,2024-02-21
763,27,2024-05-13
764,46,2024-04-16
765,48,2024-01-30
766,33,2024-02-26
767,32,2024-02-25
768,7,2024-02-20
769,33,2024-05-28
770,13,2024-04-19
771,37,2024-05-21
772,10,2024-04-04
773,42,2024-06-25
774,38,2024-01-09
775,7,2024-02-22
776,31,2024-03-28
777,16,2024-03-05
778,14,2024-06-06
779,7,2024-02-05
780,14,2024-02-13
781,34,2024-04-30
782,10,2024-06-16
783,11,2024-04-06
784,6,2024-03-21
785,35,2024-06-10
786,49,2024-02-10
787,13,2024-06-18
788,18,2024-04-25
789,24,2024-03-04
790,6,2024-05-03
791,14,2024-05-18
792,32,2024-03-30
793,22,2024-03-05
794,50,2024-03-25
795,26,2024-02-19
796,40,2024-05-02
797,28,2024-03-16
798,49,2024-03-24
799,7,2024-02-01
800,22,2024-02-25
801,27,2024-06-18
802,10,2024-06-12
803,9,2024-01-08
804,38,2024-03-15
805,5,2024-04-16
806,23,2024-05-04
807,25,2024-03-10
808,34,2024-06-03
809,43,2024-03-16
810,42,2024-01-16
811,41,2024-05-13
812,28,2024-05-07
813,37,2024-06-17
814,10,2024-02-25
815,4,2024-02-12
816,6,2024-01-04
817,39,2024-04-23
818,41,2024-05-10
819,50,2024-05-12
820,36,2024-02-13
821,13,2024-06-24
822,26,2024-05-19
823,9,2024-03-18
824,31,2024-03-23
825,17,2024-06-03
826,45,2024-02-29
827,25,2024-01-07
828,16,2024-06-04
829,34,2024-03-04
830,22,2024-03-07
831,49,2024-04-13
832,41,2024-03-26
833,10,2024-01-07
834,46,2024-06-02
835,23,2024-03-19
836,32,2024-06-20
837,42,2024-05-16
838,30,2024-06-13
839,28,2024-03-14
840,29,2024-06-25
841,22,2024-02-28
842,37,2024-01-18
843,4,2024-03-18
844,4,2024-03-06
845,40,2024-06-25
846,22,2024-04-05
847,40,2024-03-20
848,7,2024-06-22
849,3,2024-01-28
850,43,2024-02-01
851,19,2024-02-28
852,49,2024-01-13
853,50,2024-06-17
854,38,2024-04-27
855,10,2024-04-28
856,1,2024-02-10
857,43,2024-04-01
858,30,2024-01-05
859,45,2024-01-14
860,18,2024-01-21
861,7,2024-04-28
862,9,2024-05-24
863,19,2024-03-27
864,42,2024-03-24
865,11,2024-05-20
866,15,2024-06-04
867,36,2024-04-22
868,15,2024-05-20
869,19,2024-05-09
870,27,2024-06-14
871,6,2024-03-11
872,43,2024-06-16
873,4,2024-03-28
874,32,2024-01-02
875,17,2024-02-26
876,36,2024-04-08
877,37,2024-04-27
878,10,2024-01-27
879,15,2024-02-07
880,17,2024-06-26
881,21,2024-04-20
882,1,2024-06-06
883,47,2024-06-18
884,45,2024-02-12
885,36,2024-04-23
886,40,2024-06-04
887,5,2024-03-08
888,27,2024-02-10
889,26,2024-05-16
890,1,2024-05-29
891,12,2024-05-10
892,34,2024-03-26
893,41,2024-05-26
894,47,2024-03-15
895,49,2024-03-28
896,38,2024-06-06
897,5,2024-01-16
898,33,2024-03-13
899,46,2024-01-21
900,48,2024-06-27
901,35,2024-02-25
902,19,2024-02-03
903,49,2024-02-19
904,39,2024-03-19
905,18,2024-06-12
906,10,2024-04-27
907,32,2024-06-08
908,35,2024-06-01
909,18,2024-01-29
910,20,2024-04-21
911,20,2024-05-04
912,43,2024-05-13
913,14,2024-01-22
914,3,2024-02-03
915,33,2024-02-15
916,15,2024-04-15
917,12,2024-04-06
918,22,2024-01-05
919,40,2024-03-27
920,26,2024-06-05
921,3,2024-03-25
922,4,2024-04-10
923,8,2024-05-06
924,15,2024-06-25
925,8,2024-04-11
926,33,2024-02-11
927,1,2024-05-29
928,21,2024-04-29
929,44,2024-05-21
930,20,2024-04-25
931,26,2024-03-06
932,29,2024-06-10
933,16,2024-02-02
934,46,2024-06-05
935,7,2024-06-11
936,33,2024-03-30
937,20,2024-03-02
938,35,2024-06-21
939,3,2024-01-23
940,27,2024-03-15
941,31,2024-04-22
942,24,2024-05-30
943,23,2024-03-13
944,17,2024-02-10
945,46,2024-03-23
946,43,2024-05-23
947,41,2024-01-29
948,45,2024-05-12
949,8,2024-06-02
950,34,2024-02-26
951,19,2024-01-07
952,14,2024-04-05
953,50,2024-01-12
954,14,2024-03-01
955,8,2024-01-25
956,23,2024-06-26
957,28,2024-05-09
958,14,2024-02-23
959,25,2024-03-11
960,10,2024-03-27
961,36,2024-05-28
962,36,2024-04-08
963,47,2024-06-12
964,7,2024-04-02
965,36,2024-02-13
966,50,2024-01-25
967,4,2024-05-14
968,42,2024-03-15
969,24,2024-04-07
970,4,2024-02-22
971,31,2024-01-17
972,19,2024-01-19
973,15,2024-06-01
974,29,2024-04-11
975,16,2024-05-08
976,24,2024-03-02
977,5,2024-01-05
978,12,2024-03-23
979,47,2024-02-25
980,47,2024-04-30
981,7,2024-02-28
982,34,2024-01-30
983,20,2024-01-24
984,1,2024-03-01
985,16,2024-01-21
986,48,2024-01-05
987,4,2024-03-29
988,42,2024-04-06
989,49,2024-06-03
990,22,2024-06-15
991,6,2024-01-26
992,46,2024-02-08
993,38,2024-04-27
994,44,2024-01-19
995,4,2024-05-29
996,18,2024-04-22
997,16,2024-04-10
998,18,2024-01-25
999,21,2024-06-02
1000,44,2024-06-25
